"v1" "v2" "kat"
"1" 3.1227236049616 0.599709174250525 1
"2" 2.80479355570594 3.71215025410465 1
"3" 1.99443311676061 1.58924345385861 1
"4" 2.88732742635513 2.09000753216829 1
"5" 1.9349869594003 1.90683740926976 1
"6" 0.293536678738461 1.76167607551419 1
"7" 1.15595526073796 1.94489512571511 1
"8" -0.842096644317461 2.59853292503647 1
"9" 3.02335607723027 2.10963052327548 1
"10" 1.54797323107638 3.55852747371194 1
"11" 2.31366620171017 1.54033811081072 1
"12" 1.53826252307651 2.05987860267112 1
"13" 1.20952084311326 2.42223040510448 1
"14" 2.62851806966022 1.04375944652433 1
"15" 5.44898968435437 6.37515342801524 2
"16" 5.7671074732591 6.95651432982977 2
"17" 4.78872987732252 7.21672627501772 2
"18" 4.04141188406198 6.0400778984189 2
"19" 5.99059938960498 8.08326070670543 2
"20" 4.45124849097304 6.60838344485121 2
"21" 4.83027560412662 6.51570031313574 2
"22" 5.68300267839297 6.65194939439595 2
"23" 6.37453958874905 3.05694926113495 3
"24" 7.34337657097429 4.77651088708079 3
"25" 6.95977145697659 4.55764549587914 3
"26" 7.82831038723366 3.68375436798611 3
"27" 6.20979839752034 4.39991936709675 3
"28" 6.91209485929604 3.46892110394521 3
"29" 6.66214544687281 3.94452781613821 3
"30" 7.29653068149831 4.18118059246117 3
"31" 7.99671825503374 2.69931657533453 3
