Timestamp;Nem;Kor;Lakohely;Vegzettseg;Statusz;Jovedelem;Matek;Magyar;Sport;Hangszer;Stressz;Dohanyzas;Alkohol;Csaladi;Auto;Suly;Idealsuly;Magassag;Cipo;Szemszin;Hajszin;Elegedettseg
9.15.2016 12:04:24;férfi;23;város;Fõiskola/egyetem;diák;;5;5;néha;igen;nem;nem;5;kapcsolatban;nincs;83;82;188;44;barna;barna;6
9.20.2016 22:21:49;férfi;37;falu;Fõiskola/egyetem;egyik sem;;3;4;néha;igen;igen;igen;8;egyedülálló;van;68;80;178;42;barna;barna;6
9.21.2016 12:03:36;férfi;28;város;Fõiskola/egyetem;diák, dolgozik;130000;5;5;néha;nem;igen;nem;1;kapcsolatban;nincs;75;75;190;45;zöld;barna;6
9.21.2016 12:19:26;férfi;38;város;Fõiskola/egyetem;dolgozik;400000;5;5;rendszeresen;nem;igen;nem;3;házas;van;90;80;175;43;kék;barna;6
9.21.2016 19:14:17;férfi;20;város;Középiskola;diák;;4;5;rendszeresen;igen;nem;nem;3;kapcsolatban;van;85;95;200;47;barna;barna;6
9.21.2016 20:04:30;férfi;20;város;Középiskola;diák;;5;5;rendszeresen;igen;igen;nem;5;kapcsolatban;nincs;80;83;183;41;zöld;fekete;5
9.22.2016 9:12:35;férfi;41;város;Fõiskola/egyetem;dolgozik;240000;5;5;néha;igen;igen;nem;1;házas;nincs;72;82;191;42;barna;barna;5
9.22.2016 14:00:11;férfi;19;falu;Középiskola;diák;;5;5;néha;nem;igen;nem;0;kapcsolatban;nincs;65;70;184;45;barna;barna;5
9.22.2016 14:00:14;férfi;20;város;Középiskola;diák;;4;5;rendszeresen;igen;nem;nem;2;kapcsolatban;nincs;82;92;198;46;barna;barna;6
9.22.2016 14:00:24;férfi;18;város;Középiskola;diák;;5;5;rendszeresen;nem;igen;nem;2;kapcsolatban;nincs;72;80;174;41;barna;barna;3
9.22.2016 14:00:41;férfi;18;város;Középiskola;diák;;5;5;rendszeresen;nem;igen;nem;4;egyedülálló;nincs;67;80;184;44;kék;barna;6
9.22.2016 14:02:11;férfi;19;város;Középiskola;diák;;5;5;nem;nem;igen;nem;3;kapcsolatban;nincs;76;75;172;43;kék;barna;5
9.28.2016 11:02:55;férfi;22;város;Középiskola;diák, dolgozik;200000;5;3;néha;igen;nem;nem;6;egyedülálló;nincs;85;75;185;46;barna;vörös;6
9.28.2016 16:43:29;férfi;23;falu;Fõiskola/egyetem;diák;;5;5;néha;igen;nem;igen;17;egyedülálló;nincs;75;75;195;46;szürke;barna;6
9.30.2016 8:05:17;férfi;53;város;Fõiskola/egyetem;dolgozik;300000;5;5;;nem;igen;igen;5;házas;van;85;75;174;45;kék;szõke;6
9.30.2016 8:57:09;férfi;33;város;Fõiskola/egyetem;dolgozik;250000;5;4;néha;nem;nem;nem;10;házas;van;72;68;173;41;kék;barna;6
9.30.2016 9:08:38;férfi;21;város;Középiskola;diák, dolgozik;180000;4;5;néha;nem;nem;nem;0;kapcsolatban;nincs;68;75;182;42;kék;barna;6
9.30.2016 9:27:20;férfi;22;város;Fõiskola/egyetem;diák;;5;5;néha;igen;igen;nem;6;egyedülálló;nincs;60;65;170;41;barna;barna;4
9.30.2016 9:30:11;férfi;23;város;Fõiskola/egyetem;egyik sem;140000;5;5;rendszeresen;nem;nem;nem;25;kapcsolatban;nincs;76;80;175;43;barna;barna;6
9.30.2016 9:37:43;férfi;25;falu;Fõiskola/egyetem;diák;;5;5;nem;nem;igen;nem;5;egyedülálló;van;50;50;175;175;barna;fekete;5
9.30.2016 10:49:51;férfi;25;város;Fõiskola/egyetem;diák, dolgozik;55000;5;4;rendszeresen;nem;igen;nem;10;kapcsolatban;nincs;67;70;183;43;zöld;barna;6
9.30.2016 12:12:31;férfi;31;város;Középiskola;dolgozik;133000;3;3;;nem;igen;nem;2;házas;van;78;75;183;43;barna;barna;7
9.30.2016 13:59:43;férfi;18;egyéb;Általános iskola;diák;;4;4;néha;nem;nem;nem;3;egyedülálló;nincs;57;57;168;41;kék;szõke;6
9.30.2016 14:02:43;férfi;18;falu;Általános iskola;diák;;5;4;rendszeresen;igen;nem;nem;1;egyedülálló;nincs;72;77;182;43;kék;szõke;5
9.30.2016 14:17:51;férfi;65;város;Fõiskola/egyetem;egyik sem;;4;4;nem;igen;nem;nem;30;házas;van;103;100;190;46;barna;barna;7
9.30.2016 16:35:00;férfi;19;város;Középiskola;diák, dolgozik;60000;5;5;néha;igen;igen;igen;8;egyedülálló;van;75;80;190;44;zöld;barna;6
9.30.2016 16:41:44;férfi;32;város;Középiskola;egyik sem;;5;4;nem;nem;igen;nem;0;egyedülálló;nincs;110;90;188;45;barna;barna;5
9.30.2016 17:22:11;férfi;40;város;Fõiskola/egyetem;dolgozik;250000;5;5;néha;nem;igen;nem;15;kapcsolatban;van;90;80;185;45;szürke;barna;6
9.30.2016 22:19:07;férfi;61;város;Fõiskola/egyetem;dolgozik;530000;5;5;néha;igen;nem;nem;10;házas;van;67;64;168;42;kék;barna;6
