"nap" "meret"
"1" 1 25.2005077946861
"2" 1 23.0566094099272
"3" 1 22.2898161222117
"4" 1 23.1185904300145
"5" 1 23.1587788696349
"6" 1 23.8629727156816
"7" 1 23.3906608737669
"8" 1 22.2320640390364
"9" 1 22.7607898511141
"10" 1 21.4884730698577
"11" 1 21.815733149539
"12" 2 22.7194549448337
"13" 2 23.5055130417987
"14" 2 24.0733644322804
"15" 2 24.4708119160451
"16" 2 24.3200504726773
"17" 2 22.9137461117548
"18" 2 23.8866913653238
"19" 2 24.3812380715902
"20" 2 24.7185864802236
"21" 2 24.7268196410714
"22" 2 23.8272769101132
"23" 2 22.9525205401976
"24" 3 24.8381133071405
"25" 3 26.5602819009087
"26" 3 24.4692357787632
"27" 3 25.4466486629583
"28" 3 23.7462697735057
"29" 3 23.6050894928846
"30" 3 24.4459012458455
"31" 3 25.649789439267
"32" 3 26.0033256709408
"33" 3 25.9916556006781
"34" 3 22.9474273078752
"35" 3 25.7736252670349
"36" 3 23.6545736043224
