"tej"
"1" 0,98544945419554
"2" 1,012445628949
"3" 0,995680529338621
"4" 1,0000686927601
"5" 1,00124551048768
"6" 0,995903713700109
"7" 1,00563413642915
"8" 1,01606958114726
"9" 0,989980483267824
"10" 1,00509325897543
"11" 1,00353716734739
"12" 1,00196861225484
"13" 1,01024085291211
"14" 0,990460246531841
"15" 1,00469299523994
"16" 0,999158400011778
"17" 0,988695631387574
"18" 0,997695125107789
"19" 0,999667379117636
"20" 0,989969646523986
"21" 1,0007154236271
"22" 1,01587421191278
"23" 1,00427751930294
"24" 1,00308248594072
"25" 1,0012165626227
"26" 0,986829759615026
"27" 0,990903519453309
"28" 0,994521490714915
"29" 0,992138351246055
"30" 1,00361859807916
"31" 0,996806290969015
"32" 1,00453330251262
"33" 1,00187373442472
"34" 1,00813470637184
"35" 0,988508017088155
"36" 0,989976653649864
"37" 1,0127034153642
"38" 1,00225266278332
"39" 0,985711191891283
"40" 0,993634169119422
"41" 1,00024270472033
"42" 1,01639986707742
"43" 1,02537115059821
"44" 1,00030887258618
"45" 1,00162896179924
"46" 0,993031925540883
"47" 1,01862484866762
"48" 1,00394783950687
"49" 0,991687603628168
"50" 0,984232821749537
"51" 1,00510324080345
"52" 0,985536278358979
"53" 0,988506262605771
"54" 0,985478041455956
"55" 0,995835010921357
"56" 1,01729261335295
"57" 0,994631313327356
"58" 1,01072530736295
"59" 0,995715761402206
"60" 1,01008122124356
"61" 0,989485947377834
"62" 1,00416472333298
"63" 1,00795446589308
"64" 1,01468349516868
"65" 1,00156620959138
"66" 0,999939412129265
"67" 1,00517898064394
"68" 0,991879387395519
"69" 1,00518137818705
"70" 0,994623452138136
"71" 1,00709858634074
"72" 1,02139179003355
"73" 1,00705982523329
"74" 1,02402835621453
"75" 0,995408281377019
"76" 0,997233935916448
"77" 0,99088042960499
"78" 0,997468359012397
"79" 0,986550493164884
"80" 0,992423516342885
"81" 0,999404025297721
"82" 1,00092574055595
"83" 0,995905989161622
"84" 1,00064001439966
"85" 0,991896372978575
"86" 0,999138404619129
"87" 1,00263963327002
"88" 0,986921681515379
"89" 1,01086186095246
"90" 1,01025168447134
"91" 0,993918204262311
"92" 1,00087294475125
"93" 1,0147582898273
